rotten_tomatoes_link;movie_title;content_rating;genre;directors;original_release_date;streaming_release_date;runtime;production_company;audience_rating;audience_count
m/1007105-far_from_the_madding_crowd;Far From the Madding Crowd;PG;DRAMA;John Schlesinger;10/18/1967;1/26/2014;169;MGM Home Entertainment;76;1081
m/1007110-farewell_my_lovely;Farewell, My Lovely;R;DRAMA;Dick Richards, R.M. Richards;8/20/1975;08/01/2018;97;AVCO Embassy Pictures;73;1470
m/1007141-fatal_attraction;Fatal Attraction;R;DRAMA;Adrian Lyne;09/11/1987;08/01/2013;119;Paramount Pictures;72;53027
m/1007154-father_of_the_bride;Father of the Bride;G;COMEDY;Vincente Minnelli;01/01/1950;01/01/2009;93;MGM;74;13901
m/1007350-fire_and_ice;Fire and Ice;PG;ACTION & ADVENTURE;Ralph Bakshi;8/26/1983;08/10/2016;81;Blue Underground;53;8565
m/1007517-flash_gordon;Flash Gordon;PG;ACTION & ADVENTURE;Mike Hodges;12/05/1980;6/15/2012;110;Universal Pictures;69;46719
m/1007522-flashback;Flashback;R;COMEDY;Franco Amurri;02/02/1990;08/10/2016;108;Paramount;60;5804
m/1007538-flesh_and_blood;Flesh & Blood (Flesh+Blood) (The Rose and the Sword);R;ACTION & ADVENTURE;Paul Verhoeven;8/30/1985;11/15/2016;126;MGM;63;4358
m/1007555-flight_of_the_phoenix;The Flight of the Phoenix;NR;ACTION & ADVENTURE;Robert Aldrich;12/15/1965;08/10/2016;147;20th Century Fox Film Corporation;81;9209
m/1007573-flipper;Flipper;G;ACTION & ADVENTURE;James B. Clark;8/14/1963;01/01/2009;90;MGM Home Entertainment;49;26368
m/1007600-fly;The Fly;NR;HORROR;Kurt Neumann;7/16/1958;11/25/2015;94;Fox;70;11153
m/1007602-fly;The Fly;R;DRAMA;David Cronenberg;8/15/1986;11/25/2015;95;Fox;83;89948
m/1007615-flying_tigers;Flying Tigers;NR;ACTION & ADVENTURE;David Miller;01/01/1942;11/24/2016;102;Republic;68;789
m/1007657-footloose;Footloose;PG;DRAMA;Herbert Ross;2/17/1984;08/01/2013;107;Paramount Home Video;71;270317
m/1007745-four_feathers;The Four Feathers;NR;ACTION & ADVENTURE;Zoltan Korda;08/03/1939;3/23/2017;115;Criterion Collection;85;2888
m/1007832-frantic;Frantic;R;ACTION & ADVENTURE;Roman Polanski;2/26/1988;8/18/2008;120;Warner Home Video;64;22087
m/1007839-freaky_friday;Freaky Friday;G;COMEDY;Gary Nelson;12/17/1976;12/13/2015;95;Disney;57;65759
m/1007910-fright_night;Fright Night;R;HORROR;Tom Holland;01/01/1985;4/16/2012;106;Sony Pictures Home Entertainment;76;49729
m/1007931-from_here_to_eternity;From Here to Eternity;G;DRAMA;Fred Zinnemann;08/05/1953;4/16/2012;118;NCM Fathom;84;14883
m/1007962-fugitive;The Fugitive;NR;DRAMA;John Ford;11/03/1947;01/06/2017;104;RKO Pictures;61;579
m/1007977-fun_with_dick_and_jane;Fun with Dick and Jane;PG;COMEDY;Ted Kotcheff;;4/16/2012;95;Sony Pictures Entertainment;51;5489
m/1007990-funny_farm;Funny Farm;PG;COMEDY;George Roy Hill;06/03/1988;10/03/2008;103;Warner Home Video;50;25811
m/1008015-fury;The Fury;R;DRAMA;Brian DePalma;01/01/1978;04/03/2016;118;Fox;49;5203
m/1008055-galaxy_of_terror;Galaxy of Terror (Mindwarp: An Infinity of Terror) (Planet of Horrors) (Quest);R;ACTION & ADVENTURE;B.D. Clark, Bruce D. Clark;10/21/1981;05/03/2018;80;New World Pictures;29;1098
m/1008074-gallipoli;Gallipoli;PG;DRAMA;Peter Weir;08/07/1981;08/01/2013;110;Paramount Home Video;83;23113
m/1008080-gambler;The Gambler;R;DRAMA;Karel Reisz;01/01/1974;2/19/2016;109;Paramount Pictures;77;1242
m/1008085-game_of_death;Game of Death;R;ACTION & ADVENTURE;Robert Clouse;03/01/1978;1/24/2017;102;Twentieth Century Fox Home Entertainment;64;32560
m/1008166-general;The General;R;COMEDY;Clyde Bruckman, Buster Keaton;02/05/1927;09/01/2016;83;United Artists Films;92;11508
m/1008243-getaway;The Getaway;R;ACTION & ADVENTURE;Sam Peckinpah;12/13/1972;02/01/2014;122;Warner Bros. Pictures;81;9710
m/1008358-girls_girls_girls;Girls! Girls! Girls!;PG;COMEDY;Norman Taurog;11/21/1962;7/25/2015;106;Paramount Pictures;50;7958
m/1008407-gloria;Gloria;PG;ACTION & ADVENTURE;John Cassavetes;10/01/1980;01/01/2012;121;Columbia Pictures Corporation;80;4691
m/1008415-glory;Glory;R;DRAMA;Edward Zwick;12/15/1989;4/16/2012;122;TriStar;93;60231
m/1008437-go_west;Go West;NR;COMEDY;Edward Buzzell;06/01/1940;8/25/2008;81;MGM Home Entertainment;59;2687
m/1008588-gone_in_60_seconds;Gone in 60 Seconds;PG;ACTION & ADVENTURE;H.B. Halicki;7/28/1974;5/22/2017;105;H.B. Halicki Mercantile Co.;66;196417
m/1008623-goodbye_girl;The Goodbye Girl;PG;COMEDY;Herbert Ross;11/30/1977;7/14/2016;110;MGM Home Entertainment;84;7479
m/1008627-goodbye_mr_chips;Goodbye, Mr. Chips;NR;COMEDY;Sam Wood;7/28/1939;09/11/2015;114;MGM Home Entertainment;87;5661
m/1008799-great_gatsby;The Great Gatsby;PG;DRAMA;Jack Clayton;3/29/1974;08/10/2016;144;Paramount Pictures;47;20775
m/1008852-great_race;The Great Race;G;ACTION & ADVENTURE;Blake Edwards;07/01/1965;9/30/2016;150;Warner Home Video;83;8794
m/1008931-green_berets;The Green Berets;G;ACTION & ADVENTURE;John Wayne, Ray Kellogg;6/19/1968;05/08/2015;141;Warner Home Video;61;9630
m/1008968-grizzly;Grizzly;PG;HORROR;William Girdler;5/21/1976;11/18/2016;90;Film Ventures International (FVI);31;1789
m/1008981-group;The Group;PG;DRAMA;Sidney Lumet;03/04/1966;4/18/2017;150;United Artists;58;261
m/1009027-gullivers_travels;Gulliver's Travels;NR;ACTION & ADVENTURE;Dave Fleischer;12/22/1939;08/11/2016;74;Koch Vision;53;7274
m/1009055-gunfighter;The Gunfighter;NR;ACTION & ADVENTURE;Henry King;6/23/1950;11/25/2015;84;Twentieth Century Fox;89;1308
m/1009058-gung_ho;Gung Ho;PG-13;COMEDY;Ron Howard;3/14/1986;06/06/2014;111;Paramount Home Video;46;7129
m/1009096-hairspray;Hairspray;PG;COMEDY;John Waters;2/26/1988;12/01/2008;90;New Line Home Entertainment;80;64156
m/1009113-halloween;Halloween;R;HORROR;John Carpenter;10/25/1978;3/18/2017;91;Compass International Pictures;89;303224
m/1009123-hamlet;Hamlet;NR;DRAMA;Laurence Olivier;05/04/1948;3/23/2017;153;Universal;80;7542
m/1009131-hand;The Hand;R;DRAMA;Oliver Stone;4/24/1981;6/16/2012;104;Warner Home Video;28;1904
m/1009211-hard_times;Hard Times;PG;ACTION & ADVENTURE;Walter Hill;;5/14/2014;92;Sony Pictures Home Entertainment;81;4116
m/1009219-hardcore;Hardcore;R;DRAMA;Paul Schrader;01/01/1979;5/14/2014;108;Sony Pictures Entertainment;67;2414
m/1009224-harder_they_fall;The Harder They Fall;NR;DRAMA;Mark Robson;01/01/1956;4/16/2012;109;Sony Pictures Entertainment;80;2130
m/1009277-haunting;The Haunting;G;HORROR;Robert Wise;9/18/1963;01/01/2009;112;Paramount Pictures;82;19339
m/1009293-hawaii;Hawaii;NR;ACTION & ADVENTURE;George Roy Hill;10/10/1966;5/21/2017;181;United Artists;53;1541
m/1009399-heat;Heat;R;ACTION & ADVENTURE;R.M. Richards;11/12/1986;08/10/2016;102;Paramount Pictures;26;163
m/1009427-heaven_can_wait;Heaven Can Wait;PG;COMEDY;Warren Beatty, Buck Henry;6/28/1978;01/01/2017;101;Paramount Home Video;68;13232
m/1009437-heidi;Heidi;G;ACTION & ADVENTURE;Allan Dwan;10/15/1937;11/25/2015;88;Twentieth Century Fox Home Entertainment;74;18184
m/1009583-hidden_fortress;The Hidden Fortress (kakushi-toride No San-akunin);NR;ACTION & ADVENTURE;Akira Kurosawa;01/01/1958;01/07/2017;139;Media Home Entertainment;93;17494
m/1009645-hills_have_eyes;The Hills Have Eyes;R;HORROR;Wes Craven;7/22/1977;10/11/2016;83;Laser Media;54;51983
m/1009649-hindenburg;The Hindenburg;PG;ACTION & ADVENTURE;Robert Wise, John A. Bolger, Jr.;01/01/1975;5/19/2016;125;Universal Pictures;37;2249
m/1009691-hit;The Hit;R;ACTION & ADVENTURE;Stephen Frears;09/12/1984;4/28/2009;98;Central Productions;75;2196
m/1009736-hole_in_the_head;A Hole in the Head;NR;COMEDY;Frank Capra;7/15/1959;11/18/2016;120;MGM;49;2232
m/1009972-hot_pursuit;Hot Pursuit;PG-13;COMEDY;Steven Lisberger;05/08/1987;09/06/2016;92;Paramount Pictures;43;3888
m/100_bloody_acres_2013;100 Bloody Acres;NR;COMEDY;Colin Cairnes, Cameron Cairnes;6/28/2013;08/10/2016;91;Doppelganger Releasing;47;1642
m/100_girls;100 Girls;R;COMEDY;Michael Davis;09/01/2000;10/22/2016;95;Dream Entertainment;50;39832
m/100_streets;100 Streets;NR;DRAMA;Jim O'Hanlon;1/13/2017;04/04/2017;93;Green Door Pictures;36;1547
m/1010002-hound_of_the_baskervilles;The Hound of the Baskervilles;NR;DRAMA;Sidney Lanfield;3/31/1939;04/03/2017;80;20th Century Fox;83;6267
m/1010012-house;House (Ding Dong, You're Dead);R;COMEDY;Steve Miner;2/28/1986;1/14/2015;92;New World Video;46;12925
m/1010030-house_of_wax;House of Wax;PG;DRAMA;Andr̩ De Toth;04/10/1953;4/19/2016;88;Warner Bros. Pictures;72;41371
m/1010034-house_on_haunted_hill;House On Haunted Hill;PG;DRAMA;William Castle;2/17/1959;05/01/2008;75;Allied Artists;73;22826
m/1010174-hud;Hud;NR;DRAMA;Martin Ritt;5/29/1963;08/10/2016;112;Paramount Pictures;89;8429
m/1010202-human_factor;The Human Factor;R;DRAMA;Otto Preminger;12/18/1979;4/16/2012;115;United Artists;23;103
m/1010214-hunchback_of_notre_dame;The Hunchback of Notre Dame;PG;DRAMA;Wallace Worsley, Wallace Worsley Sr.;09/02/1923;08/07/2015;93;Gravitas;76;2958
m/1010215-hunchback_of_notre_dame;The Hunchback of Notre Dame;NR;DRAMA;William Dieterle;;01/01/2009;116;Sony Pictures Entertainment;87;7622
m/1010230-hunter;The Hunter;PG;ACTION & ADVENTURE;Buzz Kulik;10/01/1980;08/10/2016;97;Paramount Home Video;49;3325
m/1010249-hustle;Hustle;R;ACTION & ADVENTURE;Robert Aldrich;12/25/1975;08/10/2016;120;Paramount Pictures;48;1297
m/1010263-i_the_jury;I, the Jury;R;ACTION & ADVENTURE;Richard T. Heffron;4/22/1982;11/25/2015;110;Fox;39;358
m/1010417-imitation_of_life;Imitation of Life;NR;DRAMA;Douglas Sirk;4/30/1959;3/18/2014;125;Universal Studios;91;9590
m/1010431-importance_of_being_earnest;The Importance of Being Earnest;PG;COMEDY;Anthony Asquith;;2/18/2017;95;General Film Distributors;83;3379
m/1010440-impulse;Impulse;R;ACTION & ADVENTURE;Sondra Locke;04/06/1990;12/03/2014;108;Warner Home Video;21;77
m/1010448-in_cold_blood;In Cold Blood;R;DRAMA;Richard Brooks;12/14/1967;4/16/2012;134;Columbia Pictures;88;8635
m/1010526-incubus;The Incubus;R;HORROR;John Hough;09/03/1982;11/18/2016;92;Film Ventures International;22;1278
m/1010540-indiscreet;Indiscreet;PG;COMEDY;Stanley Donen;5/20/1958;11/19/2015;100;Warner Bros.;69;5977
m/1010553-informer;The Informer;NR;DRAMA;John Ford;05/01/1935;05/07/2015;91;Media Home Entertainment;77;1081
m/1010555-inherit_the_wind;Inherit the Wind;PG;DRAMA;Stanley Kramer;11/01/1960;12/17/2016;127;MGM Home Entertainment;91;9642
m/1010672-invaders_from_mars;Invaders from Mars;NR;SCIENCE FICTION & FANTASY;William Cameron Menzies;4/22/1953;08/08/2017;73;20th Century Fox Film Corporation;56;2765
m/1010673-invaders_from_mars;Invaders From Mars;PG;HORROR;Tobe Hooper;06/06/1986;05/04/2017;98;Media Home Entertainment;33;3514
m/1010678-invasion_of_the_body_snatchers;Invasion of the Body Snatchers;PG;SCIENCE FICTION & FANTASY;Don Siegel;01/01/1956;10/01/2016;80;Republic Pictures Home Video;85;19182
m/1010679-invasion_of_the_body_snatchers;Invasion of the Body Snatchers;PG;HORROR;Philip Kaufman;12/22/1978;1/27/2017;115;MGM Home Entertainment;81;35411
m/1010695-invisible_man;The Invisible Man;NR;COMEDY;James Whale;11/13/1933;4/19/2016;71;Realart Pictures Inc.;85;11170
m/1010745-island;The Island;R;DRAMA;Michael Ritchie;6/13/1980;4/19/2016;114;Universal Pictures;51;7403
m/1010752-island_of_dr_moreau;The Island of Dr. Moreau;PG;ACTION & ADVENTURE;Don Taylor;7/13/1977;11/30/2016;98;MGM;40;2513
m/1010762-islands_in_the_stream;Islands in the Stream;PG;DRAMA;Franklin J. Schaffner;03/09/1977;08/10/2016;105;Paramount Pictures;63;127
m/1010770-it;It;NR;COMEDY;Clarence Badger, Josef von Sternberg, Clarence G. Badger;2/15/1927;05/01/2017;72;Critics' Choice Video;81;4773
m/1010793-its_alive;It's Alive;R;DRAMA;Larry Cohen;12/31/1973;4/19/2016;90;Warner Home Video;40;6171
m/1010824-ivanhoe;Ivanhoe;G;ACTION & ADVENTURE;Richard Thorpe;7/31/1952;12/03/2013;106;MGM Home Entertainment;64;5038
m/1010837-jack_and_the_beanstalk;Jack and the Beanstalk;G;COMEDY;Jean Yarbrough;04/12/1952;11/07/2014;78;VCI;38;437
m/1010889-jamaica_inn;Jamaica Inn;NR;ACTION & ADVENTURE;Alfred Hitchcock;10/13/1939;12/09/2016;99;Paramount Pictures;36;4025
m/1010939-jason_and_the_argonauts;Jason and the Argonauts;G;ACTION & ADVENTURE;Don Chaffey;6/19/1963;4/16/2012;104;Columbia Pictures;79;22745
m/1010978-jazz_singer;The Jazz Singer;NR;DRAMA;Alan Crosland;10/06/1927;01/01/2009;97;Warner Bros.;56;4506
m/1010979-jazz_singer;The Jazz Singer;PG;DRAMA;Richard Fleischer;12/19/1980;10/06/2016;115;LionsGate Entertainment;70;4953
m/1011028-jesus_christ_superstar;Jesus Christ Superstar;G;DRAMA;Norman Jewison;8/15/1973;4/19/2016;107;Universal Studios;76;36376
m/1011176-johnny_belinda;Johnny Belinda;NR;DRAMA;Jean Negulesco;9/14/1948;11/21/2016;102;Warner Bros. Pictures;88;1429
m/1011295-judex;Judex;NR;ACTION & ADVENTURE;Georges Franju;12/04/1963;09/09/2016;95;CFFP;82;390
m/1011328-julius_caesar;Julius Caesar;NR;DRAMA;Joseph L. Mankiewicz;06/03/1953;01/01/2008;121;MGM Home Entertainment;81;5248
m/1011329-julius_caesar;Julius Caesar;G;ACTION & ADVENTURE;Stuart Burge;01/01/1970;11/06/2018;117;VCI;35;2698
m/1011338-jungle_book;Jungle Book;G;ACTION & ADVENTURE;Zoltan Korda;01/01/1942;8/19/2014;109;Gravitas;56;897
m/1011392-kansas;Kansas;R;ACTION & ADVENTURE;David Stevens;01/01/1988;02/07/2017;110;Media Home Entertainment;19;1402
m/1011487-kickboxer;Kickboxer;R;ACTION & ADVENTURE;David Worth, Mark DiSalle;09/08/1989;01/04/2017;105;HBO Video;65;51359
m/1011495-kid_galahad;Kid Galahad;G;DRAMA;Phil Karlson;01/01/1962;12/06/2005;95;MGM Home Entertainment;57;5126
m/1011558-killer_elite;The Killer Elite;PG;ACTION & ADVENTURE;Sam Peckinpah;12/17/1975;04/12/2017;122;MGM Home Entertainment;34;2003
m/1011605-king_and_i;The King and I;G;ROMANCE;Walter Lang;6/29/1956;11/25/2015;133;20th Century Fox;83;61003
m/1011615-king_kong;King Kong;G;ACTION & ADVENTURE;Ernest B. Schoedsack, Merian C. Cooper;01/01/1933;11/28/2008;100;RKO Pictures;86;90136
m/1011617-king_kong;King Kong;PG;ACTION & ADVENTURE;John Guillermin;12/17/1976;01/02/2017;134;Paramount Pictures;31;57614
m/1011623-king_of_comedy;The King of Comedy;PG;COMEDY;Martin Scorsese;01/01/1983;12/09/2015;101;Fox;90;27041
m/1011626-king_of_kings;King of Kings;PG-13;DRAMA;Nicholas Ray;10/30/1961;11/01/2008;160;MGM Home Entertainment;77;4345
m/1011638-king_solomons_mines;King Solomon's Mines;G;ACTION & ADVENTURE;Compton Bennett, Andrew Marton;11/24/1950;4/16/2012;102;MGM Home Entertainment;59;3242
m/1011818-ladykillers;The Ladykillers;NR;COMEDY;Alexander Mackendrick;12/08/1955;10/06/2016;90;Ealing Studios;87;10533
m/1012164-legend;Legend;PG;DRAMA;Ridley Scott;4/18/1985;12/03/2015;89;Universal Pictures;73;101568
m/1012225-les_miserables;Les Miserables;NR;DRAMA;Richard Boleslawski;4/20/1935;9/18/2012;108;20th Century Fox Film Corporation;85;3463
m/1012264-letter;The Letter;PG;DRAMA;William Wyler;11/23/1940;03/12/2017;95;MGM Home Entertainment;82;3725
m/1012370-lilies_of_the_field;Lilies of the Field;NR;COMEDY;Ralph Nelson;01/01/1963;02/02/2017;94;Twentieth Century Fox Home Entertainment;86;6139
m/1012386-lion_in_winter;The Lion in Winter;PG;DRAMA;Anthony Harvey;10/30/1968;08/09/2016;132;Nelson Entertainment;90;13105
m/1012439-little_lord_fauntleroy;Little Lord Fauntleroy;NR;DRAMA;John Cromwell;04/02/1936;10/18/2016;98;United Artists;73;1541
m/1012478-little_princess;The Little Princess;G;COMEDY;William A. Seiter, Walter Lang;03/10/1939;07/02/2016;91;Slingshot Entertainment;81;15278
m/1012506-little_romance;A Little Romance;PG;COMEDY;George Roy Hill;4/27/1979;01/07/2003;108;WARNER BROTHERS PICTURES;85;5213
m/1012514-little_shop_of_horrors;The Little Shop of Horrors;R;COMEDY;Roger Corman;9/14/1960;10/13/2012;70;The Filmgroup Inc.;55;54898
m/1012515-little_shop_of_horrors;Little Shop of Horrors;PG-13;COMEDY;Frank Oz;12/19/1986;8/15/2008;93;Warner Bros. Pictures;79;181640
m/1012524-little_women;Little Women;NR;DRAMA;George Cukor;11/16/1933;01/01/2008;116;WARNER BROTHERS PICTURES;78;9776
m/1012525-little_women;Little Women;G;DRAMA;Mervyn LeRoy;03/10/1949;01/01/2008;121;Metro-Goldwyn-Mayer (MGM);83;9808
m/1012605-lock_up;Lock Up;R;ACTION & ADVENTURE;John Flynn, John J. Flynn Jr.;08/04/1989;8/26/2016;103;Live Home Video;50;15515
m/1012611-lolita;Lolita;NR;COMEDY;Stanley Kubrick;6/13/1962;12/31/2008;152;MGM;84;46005
m/1012647-long_days_journey_into_night;Long Day's Journey Into Night;NR;DRAMA;Sidney Lumet;01/01/1962;11/06/2018;174;Republic Pictures Home Video;86;3067
m/1012662-long_hot_summer;The Long, Hot Summer;NR;DRAMA;Martin Ritt;01/01/1958;10/28/2015;115;20th Century Fox;82;6137
m/1012665-longest_yard;The Longest Yard;R;ACTION & ADVENTURE;Robert Aldrich;8/30/1974;06/06/2014;121;Paramount Home Video;75;81341
m/1012672-look_back_in_anger;Look Back in Anger;NR;DRAMA;Tony Richardson;01/01/1958;8/28/2017;99;MGM Home Entertainment;76;1295
m/1012772-lost_patrol;The Lost Patrol;NR;ACTION & ADVENTURE;John Ford;2/16/1934;11/21/2016;74;Media Home Entertainment;65;439
m/1012813-love_bug;The Love Bug;G;ACTION & ADVENTURE;Robert Stevenson;3/13/1969;07/01/2016;107;Disney;66;39845
m/1012871-lovesick;Lovesick;PG;COMEDY;Marshall Brickman;2/18/1983;01/01/2009;95;Warner Home Video;29;802
m/1012920-lust_for_life;Lust for Life;PG;DRAMA;Vincente Minnelli;01/01/1956;05/01/2008;122;MGM;81;3271
m/1012928-m;M;NR;DRAMA;Fritz Lang;8/31/1931;08/10/2016;99;Foremco;95;36181
m/1012993-madame_x;Madame X;NR;DRAMA;David Lowell Rich;4/27/1966;8/30/2016;99;Universal;80;681
m/1013004-made_in_heaven;Made in Heaven;PG;COMEDY;Alan Rudolph;;6/28/2016;102;Lorimar Home Video;83;3887
m/1013035-magic_flute;The Magic Flute (Trollfl̦jten);G;COMEDY;Ingmar Bergman;11/11/1975;11/20/2018;134;Sveriges Radio;85;4554
m/1013071-magnificent_ambersons;The Magnificent Ambersons;NR;DRAMA;Orson Welles;07/10/1942;07/01/2014;88;RKO Radio Pictures;85;6468
m/1013077-magnificent_seven;The Magnificent Seven;R;ACTION & ADVENTURE;John Sturges;01/01/1960;9/24/2015;126;MGM Home Entertainment;87;54026
m/1013089-main_event;The Main Event;PG;COMEDY;Howard Zieff;6/22/1979;11/07/2008;112;WARNER BROTHERS PICTURES;42;2366
m/1013139-maltese_falcon;The Maltese Falcon;PG;DRAMA;John Huston;10/18/1941;5/19/2016;100;Warner Bros.;91;57852
m/1013162-man_for_all_seasons;A Man for All Seasons;G;DRAMA;Fred Zinnemann;12/12/1966;4/16/2012;120;Sony Pictures Home Entertainment;87;9774
m/1013227-manchurian_candidate;The Manchurian Candidate;PG-13;DRAMA;John Frankenheimer;10/24/1962;11/30/2016;126;MGM/UA Classics;90;31367
m/1013238-manhattan_project;The Manhattan Project;PG-13;ACTION & ADVENTURE;Marshall Brickman;6/13/1986;11/30/2016;117;HBO Video;46;5189
m/1013248-manhunter;Manhunter;R;ACTION & ADVENTURE;Michael Mann;8/15/1986;4/19/2016;119;Anchor Bay Entertainment;77;53295
m/1013259-mannequin;Mannequin;PG;COMEDY;Michael Gottlieb;2/13/1987;12/16/2016;89;20th Century Fox Film Corporat;55;44732
m/1013380-mark_of_zorro;The Mark of Zorro;NR;ACTION & ADVENTURE;Fred Niblo;12/05/1920;04/02/2017;90;United Artists;71;4985
m/1013427-marty;Marty;NR;DRAMA;Delbert Mann;04/11/1955;1/19/2017;91;MGM Home Entertainment;87;6757
m/1013488-masquerade;Masquerade;R;HORROR;Bob Swaim;03/11/1988;11/30/2016;90;MGM;50;1535
m/1013632-mechanic;The Mechanic;R;ACTION & ADVENTURE;Michael Winner;01/01/1972;01/12/2017;100;United Artists;66;4721
m/1013711-men;The Men;NR;DRAMA;Fred Zinnemann;7/20/1950;02/03/2020;86;Columbia Pictures;74;1456
m/1013772-meteor;Meteor;PG;ACTION & ADVENTURE;Ronald Neame;10/19/1979;4/29/2017;107;American International Pictures;12;937
m/1013775-metropolis;Metropolis;PG-13;ACTION & ADVENTURE;Fritz Lang;3/13/1927;12/21/2016;123;Paramount Pictures;92;62873
m/1013867-midsummer_nights_dream;A Midsummer Night's Dream;NR;COMEDY;William Dieterle, Max Reinhardt;10/09/1935;01/01/2009;132;Warner Bros.;62;1229
m/1013884-mighty_joe_young;Mighty Joe Young;PG;ACTION & ADVENTURE;Ernest B. Schoedsack;01/01/1949;5/23/2016;94;RKO Radio Pictures Inc.;63;7776
m/1013973-miracle_worker;The Miracle Worker;NR;DRAMA;Arthur Penn;7/28/1962;12/02/2016;106;MGM Home Entertainment;88;8840
m/1014008-missing_in_action;Missing in Action;R;ACTION & ADVENTURE;Joseph Zito;01/01/1984;4/28/2017;102;MGM Home Entertainment;42;12330
m/1014027-mission;The Mission;PG;DRAMA;Roland Joff̩;10/31/1986;4/16/2012;128;Warner Home Video;87;38896
m/1014061-mister_roberts;Mister Roberts;NR;COMEDY;John Ford, Mervyn LeRoy;7/30/1955;4/16/2012;123;Warner Home Video;84;6728
m/1014090-moby_dick;Moby Dick;G;ACTION & ADVENTURE;John Huston;6/27/1956;4/13/2017;116;MGM;73;8333
m/1014137-monkey_business;Monkey Business;NR;COMEDY;Norman McLeod, Norman Z. McLeod;9/19/1931;02/11/2017;78;MCA Universal Home Video;84;7678
m/1014138-monkey_business;Monkey Business;PG;COMEDY;Howard Hawks;09/05/1952;11/25/2015;97;Twentieth Century Fox Home Entertainment;68;8745
m/1014217-moonraker;Moonraker;PG;ACTION & ADVENTURE;Lewis Gilbert;6/29/1979;10/01/2016;126;United Artists;43;58078
m/1014246-morning_glory;Morning Glory;NR;DRAMA;Lowell Sherman;8/18/1933;01/01/2009;74;Media Home Entertainment;45;836
m/1014294-moulin_rouge;Moulin Rouge;NR;DRAMA;John Huston;12/23/1952;4/13/2017;123;United Artists;90;68249
m/1014325-mr_and_mrs_smith;Mr. & Mrs. Smith;NR;COMEDY;Alfred Hitchcock;1/31/1941;8/15/2008;95;RKO Radio Pictures;48;4837
m/1014352-mrs_soffel;Mrs. Soffel;PG-13;DRAMA;Gillian Armstrong;12/26/1984;4/16/2012;112;MGM Home Entertainment;45;3305
m/1014370-mummy;The Mummy;NR;HORROR;Karl W. Freund;12/22/1932;4/19/2016;72;Universal Pictures;72;12317
m/1014372-mummy;The Mummy;G;HORROR;Terence Fisher;01/01/1959;01/01/2009;88;WARNER BROTHERS PICTURES;64;7715
m/1014396-murder;Murder!;NR;DRAMA;Alfred Hitchcock;01/01/1930;09/10/2015;92;LionsGate Entertainment;39;1461
m/1014453-music_man;The Music Man;G;ROMANCE;Morton DaCosta;6/19/1962;4/19/2016;151;Warner Bros. Pictures;85;30549
m/1014481-mutiny_on_the_bounty;Mutiny on the Bounty;NR;ACTION & ADVENTURE;Frank Lloyd;11/08/1935;03/07/2017;132;MGM;83;8061
m/1014482-mutiny_on_the_bounty;Mutiny on the Bounty;NR;ACTION & ADVENTURE;Lewis Milestone, Carol Reed;11/08/1962;10/20/2016;179;WARNER BROTHERS PICTURES;73;4471
m/1014536-my_man_godfrey;My Man Godfrey;G;COMEDY;Gregory La Cava;09/06/1936;02/12/2014;95;Universal Pictures;90;7647
m/1014592-mysterious_island;Mysterious Island;PG;ACTION & ADVENTURE;Cyril Endfield, Cy Endfield;08/01/1961;4/16/2012;101;Columbia Pictures;63;3246
m/1014793-near_dark;Near Dark;R;HORROR;Kathryn Bigelow;10/02/1987;03/07/2006;95;Lions Gate Films;74;24791
m/1014804-neighbors;Neighbors;R;COMEDY;John G. Avildsen;12/18/1981;01/01/2014;94;Sony Pictures Entertainment;49;5922
m/1014946-next_of_kin;Next of Kin;R;ACTION & ADVENTURE;John Irvin;10/20/1989;01/01/2009;108;Warner Home Video;45;9637
m/1014986-nicholas_and_alexandra;Nicholas and Alexandra;PG;DRAMA;Franklin J. Schaffner;12/13/1971;01/02/2014;183;Sony Pictures Home Entertainment;78;1674
m/1015000-night_and_day;Night and Day;NR;DRAMA;Michael Curtiz;08/03/1946;1/25/2017;128;Warner Bros. Pictures;42;2308
m/1015002-night_at_the_opera;A Night at the Opera;NR;COMEDY;Sam Wood;11/08/1935;01/01/2009;93;MGM;91;20268
m/1015052-night_of_the_living_dead;Night of the Living Dead;NR;HORROR;George A. Romero;10/01/1968;10/13/2012;96;Continental Distributing Inc.;87;130598
m/1015079-night_to_remember;A Night to Remember;NR;ACTION & ADVENTURE;Roy Ward Baker;07/01/1958;3/23/2017;123;Criterion Collection;90;10443
m/1015095-nighthawks;Nighthawks;R;ACTION & ADVENTURE;Bruce Malmuth;04/04/1981;5/23/2016;99;MCA Universal Home Video;54;7370
m/1015196-no_mans_land;No Man's Land;R;ACTION & ADVENTURE;Peter Werner;10/23/1987;11/05/2016;106;Orion Home Video;63;3162
m/1015199-no_mercy;No Mercy;R;ACTION & ADVENTURE;Richard Pearce;12/19/1986;01/01/2012;107;Sony Pictures Home Entertainment;28;3861
m/1015218-no_way_out;No Way Out;R;ACTION & ADVENTURE;Roger Donaldson;8/14/1987;11/30/2016;113;HBO Video;72;20766
m/1015348-nutty_professor;The Nutty Professor;NR;COMEDY;Jerry Lewis;06/04/1963;08/01/2013;107;Paramount Pictures;67;32971
m/1015361-obsession;Obsession;PG;DRAMA;Brian DePalma;08/01/1976;4/16/2012;98;Sony Pictures Home Entertainment;59;2967
